name,set,condition,seller 1 price,seller 2 price,updated_price
Zodiac Rooster,Portal Three Kingdoms,Near Mint,5.99,6.49,6.48
Birds of Paradise,Revised Edition,Near Mint,14.08,18.98,18.97
Demonic Hordes,Revised Edition,Near Mint,4.8,5.6,5.59
Fastbond,Revised Edition,Near Mint,8.79,11.69,11.68
Aladdin's Ring,Arabian Nights,Near Mint,29.99,35.98,35.97
Argivian Blacksmith,Antiquities,Near Mint,0.25,0.48,0.57
Drafna's Restoration,Antiquities,Near Mint,1.29,1.49,1.57
Dance of Many,The Dark,Near Mint,4.3,7.28,7.2700000000000005
Infinite Authority,Legends,Near Mint,14.5,,14.49
Livonya Silone,Legends,Near Mint,24.01,22.99,22.979999999999997
Nebuchadnezzar,Legends,Near Mint,14.93,14.95,16.86
Rebirth,Legends,Near Mint,9.03,9.04,10.59
Teleport,Legends,Near Mint,10.59,11.99,13.45
Ur-Drago,Legends,Near Mint,13.77,15.97,18.95
Voodoo Doll,Legends,Near Mint,5.14,5.3,8.71
Giant Growth,Beta Edition,Near Mint,24.99,45.0,44.99
Orcish Artillery,Beta Edition,Near Mint,46.0,46.95,45.99
Power Leak,Beta Edition,Near Mint,4.73,4.75,4.74
Decree of Annihilation,Scourge,Near Mint,3.49,,3.4800000000000004
Promise of Bunrei,Saviors of Kamigawa,Near Mint,0.84,1.0,1.04
Trygon Predator,Dissension,Near Mint,0.29,0.33,0.38
Carnival of Souls,Urza's Destiny,Near Mint Foil,42.96,50.980000000000004,50.970000000000006
Archivist,Urza's Legacy,Near Mint Foil,9.98,,9.97
Rebuild,Urza's Legacy,Near Mint Foil,29.94,29.98,29.93
Tinker,Urza's Legacy,Near Mint Foil,27.779999999999998,30.5,30.49
Tragic Poet,Urza's Legacy,Near Mint Foil,4.99,6.94,6.930000000000001
Stone Rain,Mercadian Masques,Near Mint Foil,15.32,16.12,19.95
Salt Marsh,Invasion,Near Mint Foil,8.780000000000001,,8.770000000000001
Twilight's Call,Invasion,Near Mint Foil,6.19,6.98,6.970000000000001
Cavern Harpy,Planeshift,Near Mint Foil,20.49,21.99,21.979999999999997
Battlefield Forge,Apocalypse,Near Mint Foil,51.88,,51.870000000000005
Patron Wizard,Odyssey,Near Mint Foil,40.080000000000005,40.480000000000004,40.07000000000001
Standstill,Odyssey,Near Mint Foil,25.979999999999997,26.98,25.969999999999995
Flaring Pain,Judgment,Near Mint Foil,4.99,5.99,6.93
"Kokusho, the Evening Star",Champions of Kamigawa,Near Mint Foil,31.68,32.08,31.669999999999998
Night of Souls' Betrayal,Champions of Kamigawa,Near Mint Foil,11.28,11.5,22.28
Steam Vents,Guildpact,Near Mint Foil,130.48000000000002,249.95,249.94
"Teysa, Orzhov Scion",Guildpact,Near Mint Foil,40.980000000000004,47.34,47.330000000000005
Wheel of Fate,Time Spiral,Near Mint Foil,29.96,29.99,29.95
Knacksaw Clique,Shadowmoor,Near Mint Foil,8.35,8.6,8.59
Forest - Schwarzwald,European Lands,Near Mint,11.95,11.95,11.94
Plains - Scottish Highlands,European Lands,Near Mint,31.95,32.08,31.939999999999998
Swamp - Ardennes Fagnes,European Lands,Near Mint,8.59,12.95,12.94
Flooded Grove,Eventide,Near Mint Foil,29.95,34.89,34.88
Nyxathid,Conflux,Near Mint,0.66,0.66,0.93
Sphinx of the Steel Wind,Alara Reborn,Near Mint Foil,5.39,5.47,5.46
Boris Devilboon,Legends,Damaged,10.98,,10.97
Killer Bees,Legends,Damaged,14.98,19.979999999999997,19.969999999999995
Pendelhaven,Legends,Damaged,4.6,4.79,4.78
Opalescence,Urza's Destiny,Damaged,7.95,8.98,8.97
Belbe's Portal,Nemesis,Damaged,2.25,2.5,2.49
Disenchant,Beta Edition,Damaged,35.980000000000004,52.47,52.46
Shanodin Dryads,Beta Edition,Damaged,3.81,,3.8000000000000003
Righteousness,Unlimited Edition,Damaged,4.99,7.29,7.28
Fulminator Mage,Shadowmoor,Damaged,8.47,10.75,10.74
Goblin Lore,Starter 1999,Moderately Played,8.76,9.98,9.97
Cruel Tutor,Portal,Moderately Played,31.29,36.760000000000005,36.75000000000001
Instill Energy,Alpha Edition,Moderately Played,55.980000000000004,67.95,67.94
Birds of Paradise,Revised Edition,Moderately Played,8.94,9.95,9.94
Demonic Hordes,Revised Edition,Moderately Played,1.38,2.0,1.99
Fastbond,Revised Edition,Moderately Played,6.28,6.5,6.49
Sengir Vampire,Revised Edition,Moderately Played,0.25,0.33,0.32
Sol Ring,Revised Edition,Moderately Played,6.98,7.25,7.24
Vesuvan Doppelganger,Revised Edition,Moderately Played,5.39,5.42,5.41
Hurkyl's Recall,Fourth Edition,Moderately Played,1.23,1.36,2.21
Adarkar Wastes,Fifth Edition,Moderately Played,4.83,6.24,6.23
Ashnod's Altar,Fifth Edition,Moderately Played,4.79,4.89,4.88
Brushland,Fifth Edition,Moderately Played,3.29,3.33,3.3200000000000003
Goblin Recruiter,Classic Sixth Edition,Moderately Played,1.86,1.9,1.85
Wrath of God,Classic Sixth Edition,Moderately Played,6.0200000000000005,6.98,6.970000000000001
Brushland,7th Edition,Moderately Played,3.95,3.99,3.9400000000000004
Cuombajj Witches,Arabian Nights,Moderately Played,3.6,5.11,5.1000000000000005
Unstable Mutation,Arabian Nights,Moderately Played,2.25,2.5,2.24
Atog,Antiquities,Moderately Played,1.58,1.75,1.57
Energy Flux,Antiquities,Moderately Played,6.23,6.25,6.24
Millstone,Antiquities,Moderately Played,3.02,3.53,3.52
Obelisk of Undoing,Antiquities,Moderately Played,6.28,6.34,6.33
Ornithopter,Antiquities,Moderately Played,0.92,1.16,1.15
Eater of the Dead,The Dark,Moderately Played,7.4,7.49,7.48
Knights of Thorn,The Dark,Moderately Played,1.82,1.85,1.81
Maze of Ith,The Dark,Moderately Played,20.0,22.5,22.49
Blood Lust,Legends,Moderately Played,5.4,5.45,5.44
Bronze Horse,Legends,Moderately Played,4.2,4.25,4.24
Kobold Overlord,Legends,Moderately Played,31.79,35.0,34.99
Palladia-Mors,Legends,Moderately Played,12.9,14.15,14.14
Tetsuo Umezawa,Legends,Moderately Played,48.78,50.49,48.77
Tuknir Deathlock,Legends,Moderately Played,9.43,11.39,11.38
Ur-Drago,Legends,Moderately Played,7.44,8.26,8.25
Heart of Yavimaya,Alliances,Moderately Played,0.51,0.56,0.79
Shield Sphere,Alliances,Moderately Played,3.19,3.04,3.18
Dominating Licid,Exodus,Moderately Played,1.44,1.45,1.43
"Ertai, Wizard Adept",Exodus,Moderately Played,4.98,7.26,7.25
Mind Over Matter,Exodus,Moderately Played,17.79,18.779999999999998,18.769999999999996
Brushland,Ice Age,Moderately Played,3.18,3.8,3.79
Karplusan Forest,Ice Age,Moderately Played,2.44,2.98,2.97
Mystic Remora,Ice Age,Moderately Played,5.22,4.78,5.21
Underground River,Ice Age,Moderately Played,3.21,3.16,3.2
Reparations,Mirage,Moderately Played,1.18,1.31,1.76
Teferi's Isle,Mirage,Moderately Played,1.4,1.9,1.89
Crystalline Sliver,Stronghold,Moderately Played,4.39,5.75,5.74
Spike Feeder,Stronghold,Moderately Played,0.25,0.25,0.24
Ancient Tomb,Tempest,Moderately Played,22.56,23.22,22.549999999999997
Choke,Tempest,Moderately Played,3.44,3.82,3.81
Corpse Dance,Tempest,Moderately Played,4.06,6.04,6.03
Dread of Night,Tempest,Moderately Played,0.46,0.68,0.67
Static Orb,Tempest,Moderately Played,17.32,20.39,20.38
City of Solitude,Visions,Moderately Played,7.5,7.95,7.94
Helm of Awakening,Visions,Moderately Played,2.77,3.87,3.8600000000000003
Retribution of the Meek,Visions,Moderately Played,8.33,8.51,8.5
Gemstone Mine,Weatherlight,Moderately Played,13.27,13.38,13.26
Peacekeeper,Weatherlight,Moderately Played,4.99,6.07,6.0600000000000005
Scorched Ruins,Weatherlight,Moderately Played,5.25,7.0,6.99
Attrition,Urza's Destiny,Moderately Played,5.92,6.55,6.54
Opposition,Urza's Destiny,Moderately Played,3.54,3.99,3.9800000000000004
Pattern of Rebirth,Urza's Destiny,Moderately Played,0.94,1.6,1.59
Temporal Adept,Urza's Destiny,Moderately Played,0.25,0.31,0.3
Thran Dynamo,Urza's Destiny,Moderately Played,4.29,5.5,5.49
Yavimaya Hollow,Urza's Destiny,Moderately Played,27.65,30.88,30.869999999999997
Black Market,Mercadian Masques,Moderately Played,7.23,8.95,8.94
Crackdown,Mercadian Masques,Moderately Played,4.62,4.79,4.78
Dust Bowl,Mercadian Masques,Moderately Played,6.96,8.93,8.92
Misdirection,Mercadian Masques,Moderately Played,1.18,1.26,1.17
Rishadan Port,Mercadian Masques,Moderately Played,21.18,21.25,21.169999999999998
Argothian Enchantress,Urza's Saga,Moderately Played,10.68,14.2,14.19
Catastrophe,Urza's Saga,Moderately Played,3.5,3.61,3.6
Energy Field,Urza's Saga,Moderately Played,6.88,7.31,7.3
Fecundity,Urza's Saga,Moderately Played,0.35,0.42,0.33999999999999997
Gamble,Urza's Saga,Moderately Played,6.79,5.99,6.78
Goblin Lackey,Urza's Saga,Moderately Played,6.5,7.45,7.44
Worship,Urza's Saga,Moderately Played,1.9,3.99,3.9800000000000004
Rhystic Tutor,Prophecy,Moderately Played,0.42,0.5,0.62
Elvish Champion,Invasion,Moderately Played,3.65,4.99,4.98
Eladamri's Call,Planeshift,Moderately Played,3.93,5.49,5.48
Lord of the Undead,Planeshift,Moderately Played,10.940000000000001,10.95,10.94
Orim's Chant,Planeshift,Moderately Played,4.0,5.03,5.0200000000000005
