Az,Time,Starting Amt.,Deposit,Withdrawal,Ending Amt,Reason,Managers Initials,Seller
2020-02-20,,0.00,"2,954.00","1,000.00","2,854.00",trade ins,ZAK,
2020-02-20,,"2,854.00",,161.00,"2,693.00",trade in ,ZAK,
2020-02-21,,"2,693.00",,420.00,"2,273.00",trade in,JJ,
2020-02-21,,"2,273.00",,725.50,"1,547.50",Drawer Balancing,JJ,
2020-02-21,,"1,547.50",,108.00,"1,439.50",trade in,JJ,
2020-02-21,,"1,439.50",,215.00,"1,224.50",trade in,JJ,
2020-02-21,,"1,224.50",,20.00,"1,204.50",trade,JJ,
2020-02-21,,"1,204.50",,17.00,"1,187.50",trade,JJ,
2020-02-21,,"1,187.50",,21.00,"1,166.50",trade,JJ,
2020-02-22,,"1,166.50",,160.00,"1,006.50",trade,ZAK,
2020-02-22,,"1,006.50",,240.00,766.50,trade,ZAK,
2020-02-22,,766.50,860.00,,"1,626.50",daily deposit,ZAK,
2020-02-23,,"1,626.50",,470.00,"1,156.50",trade in,ZAK,
2020-02-23,,"1,156.50",,260.00,896.50,trade in,ZAK,
2020-02-23,,896.50,132.00,,"1,028.50",Daily Deposit,ZAK,
2020-02-20,,"1,028.50",247.00,,"1,275.50",Daily Deposit,KB,
2020-02-25,,"1,275.50",,715.00,560.50,trade in,ZAK,
2020-02-25,,560.50,,4.00,556.50,balance drawer,ZAK,
2020-02-26,,556.50,"4,500.00",,"5,056.50",safe restock from bank,KB,
2020-02-26,,"5,056.50",,625.00,"4,431.50",Trade,KB,Joesh (JJ) Michael S-420-441-603-508
2020-02-26,,"4,431.50",61.00,,"4,492.50",Daily Deposit,KB,
2020-02-27,,"4,492.50",,341.00,"4,151.50",trade in,ZAK,
2020-02-27,,"4,151.50",,162.00,"3,989.50",Trade,ZAK,
2020-02-27,,"3,989.50",,290.00,"3,699.50",trade,ZAK,
2020-02-27,,"3,699.50",895.00,,"4,594.50",Daily Deposit,ZAk,
2020-02-28,,"4,594.50",,130.00,"4,464.50",Trade In,KB,
2020-02-28,,"4,464.50",,33.00,"4,431.50",trade in,JJ,
2020-02-26,,"4,431.50",,635.00,"3,796.50",trade in,JJ,
2020-02-27,,"3,796.50",776.00,,"4,572.50",Daily Deposit,KB,
2020-02-29,,"4,572.50",,228.00,"4,344.50",trade,ZAK,
2020-02-29,,"4,344.50",,108.00,"4,236.50",trade,ZAK,
2020-02-29,,"4,236.50",,45.00,"4,191.50",trade,ZAK,
2020-02-29,,"4,191.50",,239.00,"3,952.50",trade,zak,
